
S Gopal,3,0,44,1,14.66,4,6,2,1,0
BA Stokes,3,0,40,0,13.33,5,2,4,0,0
R Tewatia,4,0,25,3,6.25,11,2,1,1,0
Kartik Tyagi,4,0,36,2,9.00,10,0,4,0,0

PJ Cummins,4,0,34,4,8.50,13,3,2,1,0
Shivam Mavi,4,1,15,2,3.75,14,1,0,1,0
CV Varun,4,0,20,2,5.00,9,1,0,0,0
SP Narine,4,0,37,0,9.25,8,3,2,0,0
KL Nagarkoti,4,0,24,1,6.00,12,3,0,1,0

DL Chahar,3,0,30,0,10.00,5,4,1,0,0
SM Curran,2,0,15,0,7.50,3,2,0,0,0
SN Thakur,4,0,27,1,6.75,8,3,0,0,0
L Ngidi,4,0,39,3,9.75,11,3,3,1,0
Imran Tahir,4,0,24,1,6.00,6,0,1,0,0
RA Jadeja,3,0,17,1,5.66,5,0,0,0,0

JDS Neesham,3,0,26,0,8.66,8,2,1,1,0
Mohammed Shami,4,0,29,0,7.25,12,3,0,1,0
CJ Jordan,3,0,31,1,10.33,4,2,1,0,0
Ravi Bishnoi,4,0,39,0,9.75,6,5,1,1,0
M Ashwin,4,0,17,0,4.25,8,0,0,0,0
CH Gayle,0.5,0,5,0,6.00,0,0,0,0,0

Sandeep Sharma,4,0,20,2,5.00,9,1,0,1,0
JO Holder,4,0,27,2,6.75,9,3,0,1,0
T Natarajan,4,0,11,1,2.75,16,1,0,0,0
S Nadeem,4,0,35,1,8.75,3,2,1,0,0
Rashid Khan,4,0,24,1,6.00,13,2,0,2,0

CH Morris,2,0,19,0,9.50,4,2,0,4,0
Washington Sundar,3,0,21,1,7.00,7,1,1,0,0
NA Saini,2,0,30,1,15.00,5,2,3,1,0
Mohammed Siraj,1,0,12,0,12.00,3,1,1,0,0
YS Chahal,3.1,0,19,2,6.00,8,1,1,0,0
I Udana,3,0,20,1,6.66,8,1,1,0,0

TA Boult,4,0,21,3,5.25,16,2,1,0,0
KH Pandya,3,0,13,0,4.33,9,1,0,1,0
J Yadav,3,0,18,0,6.00,6,0,1,0,0
JJ Bumrah,4,0,17,3,4.25,15,2,0,1,0
NM Coulter-Nile,2,0,14,1,7.00,6,0,1,0,0
